,tweet,processed_tweet,polarity,subjectivity,Sentiment,Objectivity
50,Take a look at some of our highlights from our March CO 2018 Pre-Med course that took place last week!  #wildernessmedicine #PreMed #RockyMountainNationalPark #EstesPark,Take a look at some of our highlights from our March CO 2018 Pre-Med course that took place last week!  wildernessmedicine PreMed RockyMountainNationalPark EstesPark,0.0,0.06666666666666668,Neutral,Objective
51,Yes! Missioncraft in austere & disaster environments:  http://coloradoglobalem.org/missioncraft/  pic.twitter.com/iEhCBaB3ei,Yes! Missioncraft in austere & disaster environments:   ,0.0,0.0,Neutral,Objective
52,"Nervous and not sure how to study for the MCAT? Listen to our Wilderness Medicine Fellow, Dr. Kurt Eifling,... https://fb.me/KUr6kcWv ","Nervous and not sure how to study for the MCAT? Listen to our Wilderness Medicine Fellow, Dr. Kurt Eifling,... ",-0.25,0.8888888888888888,Negative,Subjective
53,"In honor of International Women's Day, we want to say thank you to all the powerful women in medicine who have... https://fb.me/1RsmulZjN ","In honor of International Women's Day, we want to say thank you to all the powerful women in medicine who have... ",0.15,0.5,Positive,Objective
54, https://fb.me/8fAmk3cOY , ,0.0,0.0,Neutral,Objective
55,Interested in taking one of our courses? Take a look at one of our student testimonials from our January 2018 Pre-Med course. Photo Credit: Kelli Kokame pic.twitter.com/bin6juRlja,Interested in taking one of our courses? Take a look at one of our student testimonials from our January 2018 Pre-Med course. Photo Credit: Kelli Kokame ,0.25,0.5,Positive,Objective
56,"Thus goes another titan of Rescue, and climbing. RIP. http://rockandice.com/climbing-news/jim-bridwell-founder-of-yosar-and-big-wall-godfather-dead-at-73/ …","Thus goes another titan of Rescue, and climbing. RIP. ",0.0,0.0,Neutral,Objective
57, https://fb.me/LOGgLYcL , ,0.0,0.0,Neutral,Objective
58,Dr. Martin Musi and Dr. Anne Wagner presenting at Frostbite Rounds. Thanks to the Burn Surgery Unit for co-hosting this event with us. #wildernessmedicine pic.twitter.com/qzROFERyHn,Dr. Martin Musi and Dr. Anne Wagner presenting at Frostbite Rounds. Thanks to the Burn Surgery Unit for co-hosting this event with us. wildernessmedicine ,0.2,0.2,Positive,Objective
59,Interested in ongoing learning for free?  Check out  http://littlebigmed.com/concussionpodcast/ … https://fb.me/PpM2xeoc ,Interested in ongoing learning for free?  Check out   ,0.325,0.65,Positive,Subjective
60,Is your son or daughter Pre-Med? Are they interested in getting hands-on medical experience? The University of... https://fb.me/1rOg13oFb ,Is your son or daughter Pre-Med? Are they interested in getting hands-on medical experience? The University of... ,0.125,0.25,Positive,Objective
61,Hiring @NSF medic for Summit Greenland this spring/summer season.   Please pass on to interested colleagues https://cu.taleo.net/careersection/2/jobdetail.ftl?job=12436&lang=en …@WildMedSociety@COwildernessMED pic.twitter.com/HziITZXA0J,Hiring NSF medic for Summit Greenland this spring/summer season.   Please pass on to interested colleagues WildMedSocietyCOwildernessMED ,0.25,0.5,Positive,Objective
62,Today’s Front Range forecast is much like yesterday’s. Make good choices if you go backcountry today. https://twitter.com/caicfrontrange/status/956904195201802240 …,Today’s Front Range forecast is much like yesterday’s. Make good choices if you go backcountry today. ,0.45,0.4,Positive,Objective
63,Dr. Christopher Davis presenting at altitude rounds. #altitudemedicine #wildernessmedicine pic.twitter.com/orLuY58zNf,Dr. Christopher Davis presenting at altitude rounds. altitudemedicine wildernessmedicine ,0.0,0.0,Neutral,Objective
64,Want to learn more about emergency medicine and get some great ski days in!  Meet our faculty at  http://rockymtncme.com/  @elainemreno @JayLemery @mmoreiramd @kerrybroderick3 @austereMD @Chris_McStay,Want to learn more about emergency medicine and get some great ski days in!  Meet our faculty at   elainemreno JayLemery mmoreiramd kerrybroderick3 austereMD Chris_McStay,0.75,0.625,Positive,Subjective
